Month,Events,Speakers,Talks,Registrations,Attendance,Blogs,Website views,Video plays
2020-03,1,1,0,0,62,2,0,0
2020-04,5,15,14,137,145,2,0,0
2020-05,2,7,5,62,71,0,0,0
2020-06,4,11,9,106,156,0,0,0
2020-08,2,6,6,43,78,1,0,0
2020-09,2,5,5,62,98,0,0,0
2020-10,1,3,3,24,27,0,0,0
2020-11,2,6,6,77,85,2,0,0
2020-12,1,3,3,44,40,1,0,0
2021-01,2,5,5,105,106,3,0,0
2021-02,1,3,3,64,66,1,0,0
2021-03,2,5,3,112,76,0,0,0
2021-04,1,4,2,27,41,2,0,0
2021-05,1,3,3,51,49,2,0,0
2021-07,1,4,4,69,92,7,0,0
2021-09,1,10,5,112,113,2,0,0
2021-10,0,0,0,0,0,1,0,0
2021-11,1,3,3,55,58,0,859,10
2021-12,1,5,4,57,52,0,780,26
2022-01,1,0,0,0,12,3,1850,13
2022-02,1,2,0,83,101,1,1197,12
2022-03,2,0,0,0,32,2,1030,17
2022-04,1,2,0,66,82,2,838,29
2022-05,0,0,0,0,0,2,905,11
2022-06,1,2,0,56,74,1,996,35
2022-07,1,3,0,66,64,2,1365,24
2022-08,0,0,0,0,0,1,655,13
2022-09,1,7,0,79,160,0,2141,41
2022-10,1,4,0,118,75,2,868,36
2022-11,0,0,0,0,0,0,690,18
2022-12,1,3,0,106,68,1,679,13
2023-01,0,0,0,0,0,0,814,13
2023-02,0,0,0,0,0,0,808,9
2023-03,1,3,0,115,65,1,1229,1
2023-04,0,0,0,0,0,0,433,1
2023-05,1,3,0,115,71,1,601,1
2023-06,1,3,0,110,62,1,592,0
2023-07,0,0,0,0,0,0,266,3
2023-08,0,0,0,0,0,1,208,5
2023-09,1,3,0,77,46,1,359,3
2023-10,0,0,0,0,0,0,276,0
2023-11,1,4,0,82,52,1,308,0
2023-12,1,3,0,48,30,0,196,0

